CFOP;Tipo;Origem/Destino;Categoria;Descrição
1.101;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.102;Entrada;Dentro do Estado;Compras;Compra para comercialização
1.111;Entrada;Dentro do Estado;Compras;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial
1.113;Entrada;Dentro do Estado;Compras;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil
1.116;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural originada de encomenda para recebimento futuro (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.117;Entrada;Dentro do Estado;Compras;Compra para comercialização originada de encomenda para recebimento futuro
1.118;Entrada;Dentro do Estado;Compras;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.
1.120;Entrada;Dentro do Estado;Compras;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente
1.121;Entrada;Dentro do Estado;Compras;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente
1.122;Entrada;Dentro do Estado;Compras;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente
1.125;Entrada;Dentro do Estado;Compras;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria
1.126;Entrada;Dentro do Estado;Compras;Compra para utilização na prestação de serviço sujeita ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) - DECRETO 36.465/2011
1.128;Entrada;Dentro do Estado;Compras;Compra para utilização na prestação de serviço sujeita ao ISSQN(AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011
1.150;Entrada;Dentro do Estado;Transferências;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.151;Entrada;Dentro do Estado;Transferências;Transferência para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.152;Entrada;Dentro do Estado;Transferências;Transferência para comercialização
1.153;Entrada;Dentro do Estado;Energia Elétrica;Transferência de energia elétrica para distribuição
1.154;Entrada;Dentro do Estado;Transferências;Transferência para utilização na prestação de serviço
1.201;Entrada;Dentro do Estado;Devolução;Devolução de venda de produção do estabelecimento
1.202;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros
1.203;Entrada;Dentro do Estado;Devolução;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1.204;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1.205;Entrada;Dentro do Estado;Comunicação;Anulação de valor relativo à prestação de serviço de comunicação
1.206;Entrada;Dentro do Estado;Transporte;Anulação de valor relativo à prestação de serviço de transporte
1.207;Entrada;Dentro do Estado;Energia Elétrica;Anulação de valor relativo à venda de energia elétrica
1.208;Entrada;Dentro do Estado;Transferências;Devolução de produção do estabelecimento, remetida em transferência
1.209;Entrada;Dentro do Estado;Transferências;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência
1.250;Entrada;Dentro do Estado;Energia Elétrica;COMPRAS DE ENERGIA ELÉTRICA
1.251;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica para distribuição ou comercialização
1.252;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento industrial
1.253;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento comercial
1.254;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de transporte
1.255;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação
1.256;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento de produtor rural
1.257;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica para consumo por demanda contratada
1.301;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação para execução de serviço da mesma natureza
1.302;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento industrial
1.303;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento comercial
1.304;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte
1.305;Entrada;Dentro do Estado;Energia Elétrica;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica
1.306;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento de produtor rural
1.350;Entrada;Dentro do Estado;Transporte;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
1.351;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte para execução de serviço da mesma natureza
1.352;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento industrial
1.353;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento comercial
1.354;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação
1.355;Entrada;Dentro do Estado;Energia Elétrica;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica
1.356;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento de produtor rural
1.360;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por contribuinte-substituto em relação ao serviço de transporte (ACR) (Ajuste SINIEF 06/2007- Decreto nº 30.861/2007) –– a partir de 01.01.2008
1.401;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
